"","price_m","county"
"1",155460,"sadadm"
"2",295455,"sadadm"
"3",243243,"sadadm"
"4",310559,"sadadm"
"5",1e+05,"sadadm"
"6",145929,"sadadm"
"7",241920,"sadadm"
"8",238235,"sadadm"
"9",255556,"sadadm"
"10",158385,"sadadm"
"11",460396,"sadadm"
"12",253078,"sadadm"
"13",445545,"sadadm"
"14",175779,"sadadm"
"15",189917,"sadadm"
"16",241228,"sadadm"
"17",379000,"sadadm"
"18",269787,"sadadm"
"19",171296,"sadadm"
"20",214900,"sadadm"
"21",166185,"sadadm"
"22",470000,"sadadm"
"23",3e+05,"sadadm"
"24",172280,"sadadm"
"25",203895,"sadadm"
"26",265449,"sadadm"
"27",142857,"sadadm"
"28",269014,"sadadm"
"29",155460,"sadadm"
"30",244545,"sadadm"
"31",8e+05,"sadadm"
"32",330882,"sadadm"
"33",212264,"sadadm"
"34",308511,"sadadm"
"35",124360,"sadadm"
"36",406250,"sadadm"
"37",254113,"sadadm"
"38",124360,"sadadm"
"39",158475,"sadadm"
"40",187891,"sadadm"
"41",173807,"sadadm"
"42",223810,"sadadm"
"43",588235,"sadadm"
"44",190202,"sadadm"
"45",250627,"sadadm"
"46",179487,"sadadm"
"47",117165,"sadadm"
"48",313981,"sadadm"
"49",163462,"sadadm"
"50",409127,"sadadm"
"51",149330,"sadadm"
"52",128713,"sadadm"
"53",212602,"sadadm"
"54",148458,"sadadm"
"55",321141,"sadadm"
"56",244538,"sadadm"
"57",231441,"sadadm"
"58",463214,"sadadm"
"59",174104,"sadadm"
"60",244357,"sadadm"
"61",154455,"sadadm"
"62",411765,"sadadm"
"63",125757,"sadadm"
"64",149197,"sadadm"
"65",257884,"sadadm"
"66",230575,"sadadm"
"67",454386,"sadadm"
"68",216088,"sadadm"
"69",184874,"sadadm"
"70",187273,"sadadm"
"71",163551,"sadadm"
"72",162095,"sadadm"
"73",293378,"sadadm"
"74",148515,"sadadm"
"75",205161,"sadadm"
"76",244545,"sadadm"
"77",373732,"sadadm"
"78",43243,"sadadm"
"79",163056,"sadadm"
"80",183852,"sadadm"
"81",243574,"sadadm"
"82",179377,"sadadm"
"83",188329,"sadadm"
"84",153846,"sadadm"
"85",230000,"sadadm"
"86",187348,"sadadm"
"87",120240,"sadadm"
"88",399960,"sadadm"
"89",332349,"sadadm"
"90",660169,"sadadm"
"91",336607,"sadadm"
"92",240268,"sadadm"
"93",200787,"sadadm"
"94",149500,"sadadm"
"95",259142,"sadadm"
"96",464282,"sadadm"
"97",217857,"sadadm"
"98",208000,"sadadm"
"99",189189,"sadadm"
"100",220000,"sadadm"
"101",156977,"sadadm"
"102",267273,"sadadm"
"103",121488,"sadadm"
"104",125926,"sadadm"
"105",218629,"sadadm"
"106",262616,"sadadm"
"107",124473,"sadadm"
"108",334608,"sadadm"
"109",258427,"sadadm"
"110",247619,"sadadm"
"111",294118,"sadadm"
"112",158696,"sadadm"
"113",214286,"sadadm"
"114",223629,"sadadm"
"115",219512,"sadadm"
"116",199475,"sadadm"
"117",203895,"sadadm"
"118",143684,"sadadm"
"119",196429,"sadadm"
"120",212598,"sadadm"
"121",163736,"sadadm"
"122",420022,"sadadm"
"123",189616,"sadadm"
"124",148789,"sadadm"
"125",289750,"sadadm"
"126",373737,"sadadm"
"127",265604,"sadadm"
"128",254553,"sadadm"
"129",3e+05,"sadadm"
"130",190083,"sadadm"
"131",230018,"sadadm"
"132",177229,"sadadm"
"133",217842,"sadadm"
"134",253078,"sadadm"
"135",332458,"sadadm"
"136",256637,"sadadm"
"137",436681,"sadadm"
